City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,sainte-rose,16.3324,-61.6979,29.02,65,75,5.66,GP,1683755322
149,port elizabeth,-33.918,25.5701,20.73,51,0,1.54,ZA,1683755322
150,prince albert,53.2001,-105.7677,20.97,30,75,1.54,CA,1683755322
151,moyamba,8.1667,-12.4333,24.84,87,99,0.87,SL,1683755322
152,dolores,-36.3132,-57.6792,9.76,75,69,3.74,AR,1683755322
153,urangan,-25.3,152.9,20.18,73,5,6.05,AU,1683755323
154,kerikeri,-35.2268,173.9474,13.84,91,65,0.89,NZ,1683755323
155,talnakh,69.4865,88.3972,-21.83,87,9,1.22,RU,1683755323
156,guercif,34.2257,-3.3536,22.96,46,100,3.07,MA,1683755323
157,dudinka,69.4058,86.1778,-20.84,99,26,3.29,RU,1683755323
158,quellon,-43.1167,-73.6167,13.14,100,100,3.6,CL,1683755192
159,yaren,-0.5472,166.916,28.76,77,97,4.85,NR,1683755324
160,muswellbrook,-32.2667,150.9,10.74,86,0,0.25,AU,1683755324
161,nelson bay,-32.7167,152.15,13.33,91,91,4.47,AU,1683755324
162,yenangyaung,20.4667,94.8833,29.48,54,69,3.27,MM,1683755324
163,arys,42.4252,68.795,19.06,34,86,2.87,KZ,1683755324
164,ciudad lazaro cardenas,17.9583,-102.2,30.13,61,0,5.56,MX,1683755325
165,keflavik,64.0049,-22.5624,7.95,100,100,2.06,IS,1683755325
166,piton saint-leu,-21.2196,55.3151,23.04,73,0,2.57,RE,1683755325
167,konarka,19.9,86.1167,28.22,87,100,3.79,IN,1683755325
168,el calafate,-50.3408,-72.2768,5.02,80,93,0.1,AR,1683755325
169,yellowknife,62.456,-114.3525,17.29,31,40,5.14,CA,1683755326
170,acapulco de juarez,16.8634,-99.8901,31.9,66,20,6.17,MX,1683755254
171,fort st. john,56.2499,-120.8529,20.94,24,75,2.06,CA,1683755326
172,coromandel,-18.4733,-47.2003,20.21,67,92,2.34,BR,1683755326
173,lazaro cardenas,17.9583,-102.2,30.13,61,0,5.56,MX,1683755253
174,oranjemund,-28.55,16.4333,13.53,92,56,0.61,NA,1683755326
175,tromso,69.6496,18.957,8.01,87,75,6.69,NO,1683755327
176,aasiaat,68.7098,-52.8699,-2.72,80,44,3.79,GL,1683755246
177,hawaiian paradise park,19.5933,-154.9731,25.96,79,40,1.54,US,1683755214
178,jaisalmer,26.9147,70.9181,32.01,12,0,3.95,IN,1683755327
179,agapovka,53.2973,59.1348,2.19,92,100,2.97,RU,1683755332
180,ketchikan,55.3422,-131.6461,16.26,39,0,6.69,US,1683755217
181,candelaria,13.9311,121.4233,24.85,94,100,1.7,PH,1683755333
182,nishinoomote,30.7333,131.0,19.58,60,91,1.72,JP,1683755333
183,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,5.14,EC,1683755333
184,alamogordo,32.8995,-105.9603,29.42,8,20,13.89,US,1683755333
185,whistler,50.1164,-122.9695,18.57,39,75,1.03,CA,1683755237
186,constantia,44.1833,28.65,5.39,72,6,2.65,RO,1683755334
187,puerto san jose,13.9256,-90.8244,31.58,58,70,4.0,GT,1683755335
188,iskateley,67.6803,53.1512,-6.21,92,82,1.48,RU,1683755336
189,castillos,-34.1667,-53.8333,13.85,72,43,5.32,UY,1683755336
190,zaozersk,69.4005,32.4476,2.44,100,100,2.68,RU,1683755336
191,at taj,24.2049,23.2857,23.12,28,0,5.38,LY,1683755336
192,gadzhiyevo,69.2551,33.3362,2.85,100,100,3.14,RU,1683755337
193,shimoda,34.6667,138.95,15.61,71,77,4.52,JP,1683755337
194,i-n-salah,27.1935,2.4607,27.72,19,0,5.1,DZ,1683755337
195,beau vallon,-20.4189,57.6953,24.13,94,75,5.14,MU,1683755337
